Train Epoch: 1 [0/60000 (0%)]	Loss: 2.299075
Train Epoch: 1 [53760/60000 (90%)]	Loss: nan
Train Epoch: 1 [54400/60000 (91%)]	Loss: nan
Train Epoch: 1 [55040/60000 (92%)]	Loss: nan
Train Epoch: 1 [55680/60000 (93%)]	Loss: nan
Train Epoch: 1 [56320/60000 (94%)]	Loss: nan
Train Epoch: 1 [56960/60000 (95%)]	Loss: nan
Train Epoch: 1 [57600/60000 (96%)]	Loss: nan
Train Epoch: 1 [58240/60000 (97%)]	Loss: nan
Train Epoch: 1 [58880/60000 (98%)]	Loss: nan
Train Epoch: 1 [59520/60000 (99%)]	Loss: nan
Test set: Average loss: nan, Accuracy: 0/10000 (0%)
